,X,y
170,[-0.05531946  0.06562352  0.28971329  1.06725115  0.11198468 -1.29117961],1
171,[-0.51256222 -0.12925556 -0.28018478  1.06857045 -0.07269425 -1.0256814 ],1
172,[ 0.05394236  0.0582427   0.03611594  1.11868959  0.0367032  -1.2097312 ],1
173,[-0.08030807 -0.70521603 -0.83583637  1.04003061  0.28524642 -1.12229527],0
174,[ 0.07971141 -0.07745461  0.13684259  1.07139501  0.10206977 -1.3458436 ],1
175,[-0.07120721 -0.10524804 -0.38002313  1.07991034  0.07905542 -1.14724347],1
176,[-0.12974153 -0.12670201  0.27169664  0.84797878  0.13753734 -1.40714399],1
177,[-0.19904978 -0.34615227  0.15659572  1.33421893 -0.36651299 -0.45189922],0
178,[ 0.46517554 -0.21319076 -0.39049064  1.05100762  0.11056416 -1.32137211],1
179,[ 0.02883049 -0.31760679 -0.01020764  1.0848756   0.09201081 -1.30109714],1
180,[-0.29149168 -0.60753356 -0.49999272  1.14691715  0.02025954 -0.67319947],0
181,[ 0.32400234 -0.22227778 -0.51612648  1.19458968  0.14943761 -1.12022087],0
182,[-0.04410595 -0.19188961  0.23268661  0.96272207  0.10591905 -1.41081377],1
183,[ 0.124312   -0.64241159 -0.1515652   0.95552383  0.12845197 -1.37914705],1
184,[-0.63997963  0.04396246  0.09357402  1.00198764  0.11961271 -0.44458037],0
185,[-0.42769351 -0.19852084  0.18682006  1.30421212  0.06552466 -0.52570898],0
186,[-0.16468159 -0.28136594  0.02188616  1.00710076  0.11172599 -1.29573658],1
187,[ 0.11756683  0.29795414 -0.19713643  1.16435743  0.13148658 -1.06101217],0
188,[ 0.27789888 -0.20179418 -0.89225033  0.97101473  0.1159745  -1.06141468],0
189,[ 0.06168953 -0.36241916 -0.03677128  0.90958251  0.18088989 -1.39832051],1
190,[ 0.02764348 -0.49058994  0.20503295  0.99864451  0.12680862 -1.434691  ],1
191,[ 0.4887362  -0.19703431  0.29349746  0.83862776  0.19612753 -1.46967173],1
192,[-0.24423203 -0.13140159 -0.26684728  1.15601659  0.02865875 -1.12311461],1
193,[-0.33553104 -0.26187157  0.25997991  1.21951984 -0.10815103 -1.11768188],1
194,[ 0.41051987 -0.45912297  0.50093613  0.98489604  0.16744252 -1.47809922],1
195,[-0.21203477 -0.44711361 -0.15788504  0.97923412  0.08763449 -1.28315204],1
196,[-0.3218781  -0.22911091  0.12338451  1.04773679  0.08270838 -1.36480506],1
197,[-0.46741571 -0.08887002  0.10304376  1.16559334 -0.07947097 -1.05014191],1
198,[-0.22770092  0.58474396 -0.36505376  0.98951276 -0.01038865 -1.03683817],1
199,[-0.08256843 -0.48129222 -0.04570305  1.09424857  0.06678762 -1.30592977],1
200,[-0.18912036 -0.54993331 -0.01284498  0.98254424  0.09586597 -1.36599029],1
201,[-0.34101351 -0.24239776 -0.0379032   1.21452894 -0.12504318 -0.8615622 ],1
202,[ 0.49316579 -0.20693955  0.17562817  0.93492487  0.20642696 -1.36664418],1
203,[ 0.45690423 -0.46321419  0.07087947  0.94870608  0.20046708 -1.40989516],1
204,[ 0.27313939  0.00676601 -0.00779198  1.08205432  0.10733148 -1.23518694],1
205,[-0.07709999  0.0467474   0.06853111  1.15788297  0.04004977 -1.20561278],1
206,[ 0.24044762 -0.33627841 -0.07799231  0.88820983  0.18364365 -1.47126015],1
207,[ 0.43660432 -0.30440824 -1.10778261  1.16743634  0.14068327 -0.96035449],0
208,[-0.06038215  0.15352381  0.63183698  1.047452    0.10300278 -1.36641663],1
209,[ 0.2313551   0.1736452   0.35864817  1.10348719  0.12749109 -1.29570326],1
210,[-0.50820454 -1.03154023 -0.51685307  1.10187803  0.02598105 -1.21143843],1
211,[-0.13092876 -0.26540664 -0.14112795  1.06193237  0.06801406 -1.40817969],1
212,[-0.12869313 -0.33472081 -0.05514307  1.07466202  0.12196897 -1.26658766],1
213,[-0.19831599  0.19378464  0.19337121  1.05803555  0.06015593 -1.19877642],1
214,[-0.15112524 -0.85876412 -0.57261706  1.17601765  0.0219928  -1.1439619 ],1
